timestamp,index,name,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,temperature.gpu
2026/06/18 21:27:35.124, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 70.78, 55
2026/06/18 21:27:35.127, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 10.49, 55
2026/06/18 21:27:35.130, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 81.53, 56
2026/06/18 21:27:35.132, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 81.48, 59
2026/06/18 21:27:36.138, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 70.60, 55
2026/06/18 21:27:36.140, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 10.30, 54
2026/06/18 21:27:36.143, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 81.63, 56
2026/06/18 21:27:36.145, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 81.39, 59
2026/06/18 21:27:37.147, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 71.07, 55
2026/06/18 21:27:37.225, 1, NVIDIA GeForce GTX 1080 Ti, 2, 0, 5, 11264, 59.83, 54
2026/06/18 21:27:37.228, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 13, 11264, 54.10, 55
2026/06/18 21:27:37.230, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 81.39, 59
2026/06/18 21:27:38.233, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 71.07, 55
2026/06/18 21:27:38.268, 1, NVIDIA GeForce GTX 1080 Ti, 4, 0, 5, 11264, 59.74, 55
2026/06/18 21:27:38.270, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 13, 11264, 62.75, 55
2026/06/18 21:27:38.276, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 81.67, 59
2026/06/18 21:27:39.279, 0, NVIDIA GeForce GTX 1080 Ti, 3, 0, 5, 11264, 70.98, 54
2026/06/18 21:27:39.286, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 15, 11264, 60.32, 55
2026/06/18 21:27:39.288, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 62.84, 54
2026/06/18 21:27:39.291, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 81.49, 59
2026/06/18 21:27:40.293, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 13, 11264, 71.07, 54
2026/06/18 21:27:40.330, 1, NVIDIA GeForce GTX 1080 Ti, 3, 0, 5, 11264, 59.74, 55
2026/06/18 21:27:40.415, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 62.75, 54
2026/06/18 21:27:40.420, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 81.61, 59
2026/06/18 21:27:41.422, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 13, 11264, 70.88, 54
2026/06/18 21:27:41.509, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 59.74, 55
2026/06/18 21:27:41.514, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 62.66, 54
2026/06/18 21:27:41.520, 3, NVIDIA GeForce GTX 1080 Ti, 3, 0, 5, 11264, 81.48, 59
2026/06/18 21:27:42.523, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 71.04, 54
2026/06/18 21:27:42.542, 1, NVIDIA GeForce GTX 1080 Ti, 1, 0, 5, 11264, 59.81, 55
2026/06/18 21:27:42.627, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 13, 11264, 62.53, 54
2026/06/18 21:27:42.630, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 62.12, 58
2026/06/18 21:27:43.632, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 70.88, 54
2026/06/18 21:27:43.708, 1, NVIDIA GeForce GTX 1080 Ti, 4, 0, 5, 11264, 59.93, 54
2026/06/18 21:27:43.711, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 13, 11264, 62.44, 54
2026/06/18 21:27:43.714, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 62.32, 58
2026/06/18 21:27:44.716, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 70.75, 54
2026/06/18 21:27:44.735, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 59.83, 54
2026/06/18 21:27:44.822, 2, NVIDIA GeForce GTX 1080 Ti, 4, 0, 5, 11264, 62.53, 54
2026/06/18 21:27:44.825, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 13, 11264, 62.13, 58
2026/06/18 21:27:45.831, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 71.24, 54
2026/06/18 21:27:45.836, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 119, 11264, 57.53, 54
2026/06/18 21:27:45.838, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 59.59, 53
2026/06/18 21:27:45.840, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 58.99, 58
2026/06/18 21:27:46.842, 0, NVIDIA GeForce GTX 1080 Ti, 3, 0, 5, 11264, 71.04, 54
2026/06/18 21:27:46.881, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 13, 11264, 59.61, 54
2026/06/18 21:27:46.965, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 62.43, 53
2026/06/18 21:27:46.968, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 61.85, 57
2026/06/18 21:27:47.971, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 70.88, 54
2026/06/18 21:27:47.997, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 59.74, 54
2026/06/18 21:27:48.087, 2, NVIDIA GeForce GTX 1080 Ti, 3, 0, 5, 11264, 62.65, 53
2026/06/18 21:27:48.092, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 13, 11264, 61.85, 57
2026/06/18 21:27:49.095, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 70.97, 54
2026/06/18 21:27:49.101, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 59.83, 54
2026/06/18 21:27:49.186, 2, NVIDIA GeForce GTX 1080 Ti, 4, 0, 5, 11264, 62.43, 53
2026/06/18 21:27:49.188, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 13, 11264, 61.94, 57
2026/06/18 21:27:50.190, 0, NVIDIA GeForce GTX 1080 Ti, 1, 0, 2325, 11264, 67.23, 54
2026/06/18 21:27:50.193, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 119, 11264, 57.72, 54
2026/06/18 21:27:50.199, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 62.15, 53
2026/06/18 21:27:50.202, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 62.04, 57
2026/06/18 21:27:51.205, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 2325, 11264, 67.23, 54
2026/06/18 21:27:51.211, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 2053, 11264, 56.67, 54
2026/06/18 21:27:51.214, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 2053, 11264, 59.38, 53
2026/06/18 21:27:51.216, 3, NVIDIA GeForce GTX 1080 Ti, 2, 0, 143, 11264, 60.02, 57
2026/06/18 21:27:52.221, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 2325, 11264, 67.14, 54
2026/06/18 21:27:52.223, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 2053, 11264, 60.10, 54
2026/06/18 21:27:52.225, 2, NVIDIA GeForce GTX 1080 Ti, 8, 0, 2053, 11264, 63.13, 53
2026/06/18 21:27:52.227, 3, NVIDIA GeForce GTX 1080 Ti, 75, 3, 2565, 11264, 64.63, 57
2026/06/18 21:27:53.230, 0, NVIDIA GeForce GTX 1080 Ti, 23, 16, 4425, 11264, 111.66, 55
2026/06/18 21:27:53.232, 1, NVIDIA GeForce GTX 1080 Ti, 12, 8, 4093, 11264, 107.05, 54
2026/06/18 21:27:53.234, 2, NVIDIA GeForce GTX 1080 Ti, 15, 5, 4093, 11264, 123.57, 53
2026/06/18 21:27:53.236, 3, NVIDIA GeForce GTX 1080 Ti, 28, 15, 4547, 11264, 79.60, 57
2026/06/18 21:27:54.239, 0, NVIDIA GeForce GTX 1080 Ti, 25, 14, 4425, 11264, 94.85, 55
2026/06/18 21:27:54.243, 1, NVIDIA GeForce GTX 1080 Ti, 21, 14, 4093, 11264, 103.46, 55
2026/06/18 21:27:54.245, 2, NVIDIA GeForce GTX 1080 Ti, 25, 17, 4093, 11264, 127.29, 53
2026/06/18 21:27:54.249, 3, NVIDIA GeForce GTX 1080 Ti, 30, 20, 4547, 11264, 98.66, 57
2026/06/18 21:27:55.251, 0, NVIDIA GeForce GTX 1080 Ti, 25, 16, 4425, 11264, 105.02, 54
2026/06/18 21:27:55.253, 1, NVIDIA GeForce GTX 1080 Ti, 24, 16, 4093, 11264, 67.62, 55
2026/06/18 21:27:55.256, 2, NVIDIA GeForce GTX 1080 Ti, 21, 14, 4093, 11264, 74.67, 53
2026/06/18 21:27:55.258, 3, NVIDIA GeForce GTX 1080 Ti, 27, 18, 4547, 11264, 92.44, 58
